X,Y,Class
37.82,75.6331,1
37.82,75.9346,1
38.0826,76.5375,1
38.2139,76.5375,1
38.2139,77.442,1
38.3451,78.0449,1
38.4764,78.3464,1
38.4764,78.6479,1
38.4764,78.9494,1
38.4764,79.5523,1
38.4764,79.8538,1
38.4764,80.1553,1
38.3451,80.1553,1
38.2139,80.1553,1
38.0826,80.1553,1
37.9513,80.1553,1
37.6887,80.1553,1
37.5574,79.5523,1
37.4261,79.5523,1
37.4261,79.2508,1
37.2949,78.9494,1
37.1636,78.9494,1
37.1636,78.6479,1
37.1636,78.3464,1
37.0323,78.0449,1
37.0323,77.7434,1
36.901,77.442,1
36.901,76.839,1
36.901,76.5375,1
36.7697,76.2361,1
36.6384,75.6331,1
36.6384,75.3316,1
36.6384,75.0301,1
36.6384,74.7287,1
36.5072,74.4272,1
36.5072,74.1257,1
36.5072,73.5228,1
36.3759,73.2213,1
36.3759,72.9198,1
36.3759,72.6183,1
36.3759,72.3169,1
36.2446,72.0154,1
36.2446,71.7139,1
36.2446,71.1109,1
36.2446,70.8095,1
36.1133,69.905,1
36.1133,69.6036,1
36.1133,69.3021,1
35.982,69.3021,1
35.982,68.3976,1
35.8507,68.3976,1
35.8507,68.0962,1
35.7194,66.8903,1
35.5882,66.8903,1
35.5882,66.5888,1
35.4569,66.2873,1
35.3256,65.9858,1
35.1943,65.9858,1
35.1943,67.1917,1
35.1943,67.7947,1
35.1943,68.0962,1
35.1943,68.6991,1
35.1943,69.3021,1
35.1943,69.6036,1
35.1943,69.905,1
35.1943,70.508,1
35.1943,70.8095,1
35.1943,71.1109,1
35.1943,71.4124,1
35.1943,71.7139,1
35.1943,72.0154,1
35.1943,72.3169,1
35.1943,72.6183,1
35.1943,72.9198,1
35.1943,73.2213,1
35.5882,74.7287,1
35.8507,75.3316,1
36.2446,76.839,1
36.6384,77.7434,1
36.7697,78.3464,1
36.901,78.6479,1
37.0323,78.9494,1
37.1636,78.9494,1
37.1636,79.2508,1
37.2949,79.2508,1
37.4261,79.2508,1
37.2949,78.6479,1
37.0323,78.0449,1
36.901,77.7434,1
36.7697,77.7434,1
36.7697,76.839,1
36.6384,76.5375,1
36.6384,76.2361,1
36.5072,75.6331,1
36.5072,75.3316,1
36.3759,75.0301,1
36.2446,74.7287,1
36.2446,74.4272,1
36.1133,74.1257,1
36.1133,73.8242,1
36.1133,73.5228,1
36.1133,73.2213,1
35.982,72.9198,1
35.982,72.6183,1
35.7194,72.3169,1
35.5882,72.0154,1
35.5882,71.7139,1
35.3256,70.508,1
35.5882,71.1109,1
35.8507,72.0154,1
36.1133,72.9198,1
36.2446,73.5228,1
36.5072,74.1257,1
36.6384,74.7287,1
36.7697,75.0301,1
36.7697,75.3316,1
36.901,75.3316,1
37.0323,75.9346,1
37.1636,76.5375,1
37.4261,76.839,1
37.4261,77.1405,1
37.4261,77.7434,1
37.5574,78.0449,1
37.6887,78.3464,1
37.6887,78.6479,1
31.5183,62.3681,2
31.5183,62.6696,2
31.7809,62.6696,2
31.9122,62.6696,2
32.8312,62.9711,2
32.9625,62.9711,2
33.225,63.2725,2
33.3563,63.2725,2
33.6189,63.2725,2
33.7502,63.2725,2
33.8814,63.2725,2
34.0127,63.2725,2
34.144,63.2725,2
34.2753,63.2725,2
34.4066,63.2725,2
34.5379,63.2725,2
34.6692,63.2725,2
35.063,63.2725,2
35.1943,63.2725,2
35.3256,63.2725,2
35.4569,63.2725,2
35.5882,63.2725,2
35.7194,63.2725,2
35.8507,63.2725,2
36.1133,63.2725,2
36.2446,63.2725,2
36.3759,63.2725,2
36.5072,63.2725,2
36.6384,63.2725,2
36.7697,63.2725,2
36.901,63.2725,2
37.1636,62.6696,2
37.2949,62.3681,2
37.2949,62.0666,2
37.4261,62.0666,2
37.5574,62.0666,2
37.6887,61.4637,2
37.6887,61.1622,2
37.82,60.8607,2
38.0826,60.8607,2
38.2139,60.5592,2
38.2139,60.2578,2
38.3451,59.9563,2
38.3451,59.6548,2
38.3451,59.3533,2
38.3451,59.0519,2
38.3451,58.4489,2
38.3451,58.1474,2
38.3451,57.8459,2
38.2139,57.8459,2
38.0826,57.8459,2
37.9513,57.8459,2
37.82,57.8459,2
37.6887,57.8459,2
37.5574,57.8459,2
37.4261,57.8459,2
37.1636,58.4489,2
37.0323,58.7504,2
37.0323,59.0519,2
37.0323,59.3533,2
37.0323,59.6548,2
37.0323,59.9563,2
36.901,60.2578,2
36.6384,60.5592,2
36.6384,60.8607,2
36.6384,61.1622,2
36.5072,61.4637,2
36.5072,61.7652,2
36.3759,62.0666,2
36.2446,62.0666,2
36.1133,62.0666,2
35.982,62.0666,2
35.8507,62.3681,2
35.7194,62.3681,2
35.4569,62.3681,2
35.1943,62.3681,2
34.9317,62.3681,2
34.8004,62.3681,2
34.6692,62.3681,2
34.5379,62.3681,2
34.4066,62.3681,2
34.2753,62.3681,2
34.0127,62.3681,2
33.8814,62.0666,2
33.7502,62.0666,2
33.4876,62.0666,2
33.225,61.7652,2
33.0937,61.7652,2
32.9625,61.4637,2
32.8312,61.1622,2
32.6999,61.1622,2
32.5686,61.1622,2
32.4373,61.1622,2
32.4373,60.8607,2
32.1747,60.8607,2
32.0435,60.8607,2
31.9122,60.8607,2
31.7809,60.5592,2
31.7809,60.2578,2
31.7809,59.9563,2
31.9122,59.9563,2
31.9122,59.6548,2
32.0435,59.6548,2
32.1747,59.6548,2
32.306,59.3533,2
32.4373,59.3533,2
32.5686,59.3533,2
32.6999,59.3533,2
32.8312,59.3533,2
32.9625,59.3533,2
33.0937,59.3533,2
33.225,59.3533,2
33.4876,59.0519,2
33.7502,59.0519,2
34.0127,59.0519,2
34.2753,58.4489,2
34.4066,58.4489,2
34.5379,58.4489,2
34.8004,58.4489,2
34.9317,58.4489,2
35.063,58.4489,2
35.1943,58.4489,2
35.3256,58.4489,2
35.4569,58.4489,2
35.5882,58.4489,2
35.7194,58.4489,2
35.8507,58.4489,2
35.982,58.1474,2
36.1133,58.1474,2
36.1133,57.8459,2
36.2446,57.8459,2
36.3759,57.8459,2
36.5072,57.8459,2
36.6384,57.5445,2
36.6384,57.243,2
36.901,57.243,2
37.0323,56.9415,2
36.6384,57.243,2
36.5072,57.8459,2
35.982,59.3533,2
35.7194,59.6548,2
35.7194,59.9563,2
35.5882,59.9563,2
35.5882,60.2578,2
35.4569,60.5592,2
35.3256,60.8607,2
35.063,60.8607,2
34.9317,60.8607,2
34.6692,60.8607,2
34.5379,60.8607,2
34.4066,60.8607,2
34.2753,60.8607,2
34.144,60.8607,2
33.7502,60.8607,2
33.6189,60.8607,2
33.3563,60.5592,2
33.225,60.5592,2
33.0937,60.5592,2
32.9625,60.5592,2
32.8312,60.5592,2
32.6999,60.5592,2
32.4373,60.5592,2
32.1747,60.5592,2
32.0435,60.5592,2
31.9122,60.5592,2
31.9122,60.8607,2
31.9122,61.1622,2
31.7809,61.4637,2
31.6496,61.7652,2
31.5183,62.0666,2
31.387,62.3681,2
31.387,62.6696,2
31.387,62.9711,2
31.387,63.2725,2
35.7194,84.9789,3
35.982,84.6774,3
36.1133,84.3759,3
36.1133,84.0745,3
36.3759,83.773,3
36.5072,83.4715,3
36.6384,82.5671,3
36.7697,82.5671,3
37.0323,82.2656,3
37.0323,81.9641,3
37.2949,81.6626,3
37.2949,81.3612,3
37.4261,81.3612,3
37.6887,81.3612,3
37.6887,81.0597,3
37.82,80.7582,3
37.9513,80.4567,3
38.0826,80.1553,3
38.2139,80.1553,3
38.3451,79.8538,3
38.4764,79.5523,3
38.6077,79.5523,3
38.739,79.2508,3
38.8703,79.2508,3
39.0016,78.9494,3
39.1329,78.9494,3
39.2641,78.9494,3
39.3954,78.9494,3
39.658,78.9494,3
39.7893,78.9494,3
40.0519,78.9494,3
40.1831,78.9494,3
40.3144,78.9494,3
40.3144,79.2508,3
40.3144,80.1553,3
40.1831,80.4567,3
40.0519,81.3612,3
39.9206,81.3612,3
39.7893,81.3612,3
39.7893,81.6626,3
39.658,81.9641,3
39.5267,81.9641,3
39.5267,82.2656,3
39.3954,82.5671,3
39.2641,82.5671,3
39.1329,82.5671,3
38.8703,82.8686,3
38.739,82.8686,3
38.3451,83.17,3
38.2139,83.17,3
37.82,83.4715,3
37.6887,83.773,3
37.4261,83.773,3
37.2949,83.773,3
37.1636,83.773,3
37.0323,84.0745,3
36.901,84.0745,3
36.7697,84.0745,3
36.6384,84.0745,3
36.6384,84.3759,3
36.3759,84.6774,3
36.1133,84.6774,3
35.982,84.6774,3
35.7194,84.9789,3
35.5882,84.9789,3
35.7194,84.9789,3
35.8507,84.3759,3
35.982,84.3759,3
36.1133,84.0745,3
36.1133,83.773,3
36.3759,83.773,3
36.5072,83.773,3
36.5072,83.17,3
36.6384,82.8686,3
36.7697,82.5671,3
37.0323,82.5671,3
37.1636,82.5671,3
37.2949,82.5671,3
37.2949,82.2656,3
37.5574,81.9641,3
37.6887,81.9641,3
37.6887,81.6626,3
37.82,81.6626,3
37.82,81.3612,3
37.9513,81.3612,3
38.0826,81.3612,3
38.2139,81.3612,3
38.3451,81.3612,3
38.739,81.3612,3
38.8703,81.3612,3
39.0016,81.3612,3
39.1329,81.3612,3
39.2641,81.3612,3
40.7083,78.9494,4
40.577,78.9494,4
40.4457,78.9494,4
40.4457,78.6479,4
40.3144,78.3464,4
40.3144,77.7434,4
40.1831,77.7434,4
40.0519,77.7434,4
40.0519,77.442,4
39.9206,77.1405,4
39.9206,76.5375,4
39.7893,76.5375,4
39.7893,76.2361,4
39.7893,75.6331,4
39.658,75.3316,4
39.658,75.0301,4
39.658,74.7287,4
39.658,74.4272,4
39.5267,74.1257,4
39.3954,73.2213,4
39.2641,72.9198,4
39.2641,72.6183,4
39.2641,71.7139,4
39.2641,71.4124,4
39.2641,70.8095,4
39.2641,70.508,4
39.2641,70.2065,4
39.1329,69.905,4
39.1329,69.6036,4
39.1329,68.3976,4
39.1329,68.0962,4
39.1329,67.1917,4
39.1329,66.8903,4
39.0016,66.8903,4
39.0016,66.2873,4
39.0016,65.9858,4
39.0016,65.0814,4
38.8703,65.0814,4
38.8703,64.7799,4
38.739,64.4784,4
38.739,64.177,4
38.739,63.8755,4
38.739,63.2725,4
38.6077,63.2725,4
38.6077,62.3681,4
38.4764,62.0666,4
38.4764,61.7652,4
38.3451,61.4637,4
38.2139,60.8607,4
38.0826,60.8607,4
37.82,60.8607,4
37.82,61.1622,4
37.82,61.4637,4
37.82,61.7652,4
37.82,62.0666,4
37.82,62.3681,4
37.82,62.6696,4
37.82,62.9711,4
37.82,63.2725,4
37.82,63.574,4
37.82,63.8755,4
37.82,64.177,4
37.82,64.4784,4
37.82,64.7799,4
37.82,65.3829,4
37.82,65.6844,4
37.82,65.9858,4
37.82,66.2873,4
37.82,66.5888,4
37.82,66.8903,4
37.9513,67.1917,4
37.9513,67.4932,4
37.9513,67.7947,4
37.9513,68.0962,4
38.0826,68.3976,4
38.0826,68.6991,4
38.2139,69.3021,4
38.2139,69.6036,4
38.3451,70.2065,4
38.4764,70.508,4
38.6077,70.508,4
38.6077,70.8095,4
38.6077,71.4124,4
38.6077,71.7139,4
38.739,72.0154,4
38.8703,72.6183,4
38.8703,72.9198,4
39.0016,73.2213,4
39.1329,73.5228,4
39.1329,73.8242,4
39.1329,74.1257,4
39.2641,74.4272,4
39.2641,74.7287,4
39.2641,75.0301,4
39.3954,75.3316,4
39.5267,75.9346,4
39.658,75.9346,4
39.658,76.2361,4
39.7893,76.5375,4
39.7893,76.839,4
39.7893,77.1405,4
39.7893,77.442,4
39.9206,77.7434,4
40.0519,77.7434,4
40.0519,78.0449,4
40.0519,78.3464,4
40.1831,78.6479,4
40.1831,78.9494,4
40.3144,79.2508,4
40.1831,78.9494,4
40.0519,78.6479,4
39.9206,77.1405,4
39.9206,76.839,4
39.7893,76.5375,4
39.7893,75.6331,4
39.658,75.0301,4
39.658,74.7287,4
39.658,73.5228,4
39.5267,73.5228,4
39.5267,72.9198,4
39.5267,72.3169,4
39.5267,71.7139,4
39.3954,71.1109,4
39.3954,70.8095,4
39.2641,70.508,4
39.2641,70.2065,4
39.2641,69.6036,4
39.2641,69.3021,4
39.1329,68.6991,4
39.1329,68.3976,4
39.1329,68.0962,4
38.8703,68.0962,4
38.739,67.4932,4
38.739,67.1917,4
38.739,66.8903,4
38.739,66.5888,4
38.6077,66.2873,4
38.6077,65.9858,4
38.6077,65.6844,4
38.6077,65.3829,4
38.6077,65.0814,4
35.447,85.7062,5
35.3157,85.7062,5
35.3157,85.4047,5
35.3157,85.4047,5
35.1845,85.1033,5
35.1845,85.1033,5
35.1845,84.8018,5
35.1845,84.8018,5
35.1845,84.5003,5
35.1845,84.5003,5
35.1845,84.1988,5
35.1845,83.8973,5
35.0532,83.5959,5
35.0532,83.5959,5
34.9219,83.2944,5
34.9219,82.9929,5
34.9219,82.6914,5
34.9219,82.39,5
34.9219,82.39,5
34.7906,82.39,5
34.7906,82.0885,5
34.7906,81.787,5
34.6593,81.787,5
34.6593,81.787,5
34.6593,81.4855,5
34.6593,81.4855,5
34.6593,81.1841,5
34.6593,80.8826,5
34.6593,80.8826,5
34.6593,80.5811,5
34.6593,80.2796,5
34.528,80.2796,5
34.528,79.9781,5
34.3967,79.6767,5
34.3967,79.3752,5
34.3967,79.0737,5
34.2655,79.0737,5
34.2655,78.7722,5
34.1342,78.1693,5
34.1342,78.1693,5
34.1342,77.8678,5
34.1342,77.8678,5
34.1342,77.5663,5
34.1342,77.5663,5
34.0029,77.5663,5
34.0029,77.2648,5
34.0029,76.9634,5
34.0029,76.9634,5
34.0029,76.6619,5
34.0029,76.6619,5
34.0029,76.3604,5
34.0029,76.3604,5
34.0029,76.0589,5
34.0029,75.7575,5
34.0029,75.7575,5
34.0029,75.456,5
33.8716,75.456,5
33.8716,75.1545,5
33.8716,75.1545,5
33.8716,74.853,5
33.8716,74.5516,5
33.8716,74.5516,5
33.7403,74.2501,5
33.609,73.9486,5
33.609,73.9486,5
33.609,73.6471,5
33.609,73.3456,5
33.609,72.7427,5
33.609,72.7427,5
33.609,72.4412,5
33.609,72.4412,5
33.4777,72.4412,5
33.4777,72.1397,5
33.4777,72.1397,5
33.4777,71.8383,5
33.4777,71.5368,5
33.4777,71.2353,5
33.3465,71.2353,5
33.3465,70.9338,5
33.3465,70.6324,5
33.3465,70.3309,5
33.3465,70.0294,5
33.3465,70.0294,5
33.3465,69.7279,5
33.2152,69.7279,5
33.2152,69.4264,5
33.2152,69.125,5
33.2152,68.8235,5
33.2152,68.522,5
33.0839,67.9191,5
33.0839,67.6176,5
32.9526,67.3161,5
32.9526,67.3161,5
32.9526,67.3161,5
32.9526,67.0146,5
32.8213,66.7131,5
32.8213,66.4117,5
32.8213,66.1102,5
32.8213,66.1102,5
32.8213,65.8087,5
32.69,65.5072,5
32.69,65.2058,5
32.69,65.2058,5
32.69,64.9043,5
32.5588,64.6028,5
32.5588,64.6028,5
32.5588,64.3013,5
32.5588,64.3013,5
32.5588,63.9999,5
32.5588,63.6984,5
32.5588,63.6984,5
32.4275,63.3969,5
32.4275,63.3969,5
32.4275,63.0954,5
32.2962,63.0954,5
32.1649,62.4925,5
32.1649,62.4925,5
32.1649,62.191,5
32.0336,61.8895,5
32.0336,61.8895,5
31.9023,61.588,5
31.9023,61.588,5
31.771,61.2866,5
31.771,61.2866,5
31.6398,60.9851,5
31.5085,60.9851,5
31.5085,60.6836,5
31.2459,60.6836,5
31.2459,60.6836,5
31.1146,60.3821,5
31.1146,60.6836,5
31.1146,60.6836,5
31.1146,60.9851,5
31.1146,60.9851,5
31.1146,61.2866,5
31.1146,61.2866,5
31.1146,61.588,5
31.1146,61.588,5
31.1146,61.8895,5
31.1146,62.191,5
31.1146,62.191,5
31.1146,62.4925,5
31.2459,62.4925,5
31.2459,62.7939,5
31.3772,63.0954,5
31.3772,63.6984,5
31.3772,63.9999,5
31.3772,63.9999,5
31.3772,64.3013,5
31.5085,64.3013,5
31.5085,64.3013,5
31.5085,64.6028,5
31.6398,64.9043,5
31.771,64.9043,5
31.771,65.2058,5
31.771,65.5072,5
31.771,65.5072,5
31.9023,65.8087,5
31.9023,65.8087,5
31.9023,66.1102,5
32.0336,66.1102,5
32.0336,66.1102,5
32.0336,66.4117,5
32.0336,66.4117,5
32.0336,66.7131,5
32.0336,67.0146,5
32.1649,67.0146,5
32.1649,67.0146,5
32.1649,67.3161,5
32.2962,67.3161,5
32.2962,67.6176,5
32.2962,68.2205,5
32.4275,68.2205,5
32.4275,68.522,5
32.4275,68.522,5
32.5588,68.8235,5
32.5588,68.8235,5
32.5588,69.125,5
32.5588,69.7279,5
32.69,70.0294,5
32.69,70.0294,5
32.69,70.3309,5
32.8213,70.9338,5
32.8213,70.9338,5
32.9526,71.5368,5
33.0839,71.8383,5
33.0839,72.1397,5
33.0839,72.1397,5
33.0839,72.4412,5
33.2152,72.7427,5
33.2152,73.3456,5
33.2152,73.3456,5
33.3465,73.9486,5
33.3465,73.9486,5
33.3465,74.2501,5
33.3465,74.5516,5
33.4777,74.853,5
33.609,75.1545,5
33.609,75.456,5
33.7403,75.7575,5
33.8716,76.0589,5
33.8716,76.3604,5
33.8716,76.6619,5
34.0029,76.9634,5
34.0029,77.2648,5
34.1342,77.5663,5
34.1342,77.8678,5
34.1342,78.1693,5
34.2655,78.1693,5
34.2655,78.4708,5
34.3967,78.7722,5
34.3967,79.0737,5
34.3967,79.6767,5
34.528,79.9781,5
34.6593,80.2796,5
34.6593,80.8826,5
34.9219,81.1841,5
35.0532,81.4855,5
35.1845,82.0885,5
35.1845,82.39,5
35.1845,82.6914,5
35.3157,82.9929,5
35.3157,83.2944,5
35.3157,83.5959,5
35.447,83.8973,5
35.447,84.1988,5
35.447,84.5003,5
35.447,84.8018,5
35.447,84.8018,5
35.447,85.1033,5
35.447,85.4047,5
35.447,85.4047,5
35.447,85.7062,5
35.447,86.0077,5
35.447,86.3092,5
35.447,86.6106,5
35.447,86.6106,5
35.3157,86.6106,5
35.1845,86.6106,5
35.0532,86.6106,5
35.0532,86.3092,5
34.9219,86.0077,5
34.9219,86.0077,5
34.7906,86.0077,5
34.7906,85.4047,5
34.6593,85.1033,5
34.6593,84.8018,5
34.528,84.1988,5
34.3967,83.8973,5
34.3967,83.5959,5
34.2655,83.2944,5
34.2655,82.9929,5
34.2655,82.6914,5
34.2655,82.39,5
34.2655,82.39,5
34.2655,82.0885,5
34.1342,82.0885,5
34.1342,81.787,5
34.1342,81.787,5
34.1342,81.4855,5
34.1342,81.1841,5
34.1342,81.1841,5
34.1342,80.8826,5
34.1342,80.5811,5
34.1342,80.2796,5
34.1342,79.9781,5
34.1342,79.6767,5
34.0029,79.3752,5
34.0029,79.0737,5
34.0029,78.7722,5
34.0029,78.4708,5
33.8716,78.1693,5
33.8716,77.8678,5
33.8716,77.5663,5
33.8716,77.2648,5
33.8716,76.9634,5
33.8716,76.6619,5
33.7403,76.3604,5
33.7403,76.0589,5
33.609,75.7575,5
33.609,75.1545,5
33.609,74.5516,5
33.609,74.5516,5
33.4777,74.2501,5
33.4777,73.9486,5
33.4777,73.6471,5
33.3465,73.3456,5
33.3465,72.7427,5
33.3465,72.7427,5
33.2152,72.4412,5
33.2152,72.1397,5
33.2152,71.5368,5
33.0839,71.2353,5
33.0839,71.2353,5
32.9526,70.9338,5
32.9526,70.9338,5
32.8213,70.3309,5
32.8213,70.0294,5
32.69,69.7279,5
32.69,69.4264,5
32.5588,69.125,5
32.5588,69.125,5
32.4275,68.522,5
32.2962,68.522,5
32.2962,68.2205,5
32.1649,67.9191,5
32.1649,67.9191,5
32.1649,67.9191,5
32.0336,67.9191,5
32.0336,67.6176,5
32.0336,67.6176,5
32.0336,67.3161,5
32.0336,67.0146,5
31.9023,67.0146,5
31.9023,67.0146,5
31.9023,66.7131,5
31.771,66.7131,5
31.771,66.4117,5
31.771,66.1102,5
31.6398,66.1102,5
31.6398,65.8087,5
31.5085,65.5072,5
31.5085,65.5072,5
31.5085,65.2058,5
31.5085,64.9043,5
31.3772,64.9043,5
31.3772,64.9043,5
31.3772,64.9043,5
31.3772,64.6028,5
31.3772,64.6028,5
31.2459,64.3013,5
31.2459,64.3013,5
31.2459,63.9999,5
31.2459,63.6984,5
31.1146,63.6984,5
31.1146,63.3969,5
30.9833,63.0954,5
30.852,62.4925,5
30.7208,62.4925,5
30.7208,62.191,5
30.7208,62.4925,5
30.7208,62.7939,5
30.7208,63.0954,5
30.7208,63.3969,5
30.7208,63.6984,5
30.852,63.6984,5
30.852,63.9999,5
30.9833,64.3013,5
30.9833,64.6028,5
31.1146,64.9043,5
31.1146,64.9043,5
31.1146,65.2058,5
31.2459,65.2058,5
31.2459,65.8087,5
31.2459,66.1102,5
31.3772,66.1102,5
31.3772,66.4117,5
31.3772,66.7131,5
31.5085,67.0146,5
31.5085,67.3161,5
31.5085,67.3161,5
31.6398,67.9191,5
31.771,68.2205,5
31.771,68.522,5
31.771,68.522,5
31.9023,69.125,5
31.9023,69.125,5
32.0336,69.4264,5
32.0336,69.7279,5
32.0336,69.7279,5
32.0336,70.0294,5
32.1649,70.3309,5
32.1649,70.9338,5
32.2962,71.2353,5
32.2962,71.5368,5
32.2962,71.8383,5
32.4275,72.1397,5
32.5588,72.7427,5
32.5588,73.3456,5
32.69,73.6471,5
32.69,73.9486,5
32.69,73.9486,5
32.69,74.2501,5
32.69,74.5516,5
32.8213,74.853,5
32.8213,74.853,5
32.8213,75.1545,5
32.8213,75.456,5
32.9526,75.7575,5
32.9526,75.7575,5
33.0839,76.0589,5
33.0839,76.3604,5
33.0839,76.3604,5
33.0839,76.3604,5
33.0839,76.6619,5
33.0839,76.9634,5
33.2152,77.2648,5
33.2152,77.5663,5
33.3465,77.8678,5
33.3465,77.8678,5
33.3465,78.1693,5
33.3465,78.4708,5
33.3465,78.4708,5
33.4777,78.7722,5
33.4777,78.7722,5
33.4777,79.0737,5
33.609,79.3752,5
33.609,79.3752,5
33.609,79.6767,5
33.609,79.6767,5
33.7403,79.9781,5
33.7403,79.9781,5
33.7403,79.9781,5
33.7403,80.2796,5
33.7403,80.5811,5
33.8716,80.5811,5
33.8716,80.8826,5
33.8716,81.1841,5
33.8716,81.4855,5
34.0029,81.787,5
34.0029,81.787,5
34.0029,81.787,5
34.0029,82.0885,5
34.1342,82.39,5
34.1342,82.39,5
34.1342,82.6914,5
34.1342,82.6914,5
34.1342,82.9929,5
34.2655,83.2944,5
34.2655,83.2944,5
34.3967,83.8973,5
34.3967,83.8973,5
34.3967,84.1988,5
34.3967,84.8018,5
34.528,85.4047,5
34.528,85.4047,5
34.528,85.7062,5
34.528,85.7062,5
34.3967,85.7062,5
34.2655,85.1033,5
34.1342,84.8018,5
34.1342,84.5003,5
34.0029,84.1988,5
33.8716,83.5959,5
33.7403,83.2944,5
33.609,82.9929,5
33.609,82.6914,5
33.609,82.39,5
33.4777,82.0885,5
33.4777,81.787,5
33.3465,81.4855,5
33.3465,81.1841,5
33.3465,80.5811,5
33.2152,79.9781,5
33.0839,79.3752,5
33.0839,79.0737,5
32.9526,78.1693,5
32.8213,77.5663,5
32.8213,76.9634,5
32.8213,76.6619,5
32.8213,76.6619,5
32.8213,76.3604,5
32.69,76.3604,5
32.69,76.0589,5
32.69,75.7575,5
32.69,75.7575,5
32.5588,75.1545,5
32.5588,74.853,5
32.5588,74.5516,5
32.4275,73.9486,5
32.4275,73.6471,5
32.2962,73.0442,5
32.2962,72.7427,5
32.2962,72.1397,5
32.1649,71.8383,5
32.0336,71.2353,5
32.0336,70.6324,5
32.0336,70.3309,5
32.0336,70.3309,5
31.9023,70.0294,5
31.9023,69.7279,5
31.9023,69.4264,5
31.771,69.125,5
31.771,68.8235,5
31.771,68.522,5
31.771,68.522,5
31.6398,68.2205,5
31.5085,67.9191,5
31.5085,67.6176,5
31.5085,67.3161,5
31.5085,67.3161,5
31.3772,67.0146,5
31.3772,66.7131,5
31.3772,66.7131,5
31.2459,66.4117,5
31.2459,66.1102,5
31.2459,66.1102,5
31.1146,65.8087,5
31.1146,65.8087,5
31.1146,65.5072,5
31.1146,65.5072,5
31.1146,65.2058,5
30.9833,65.2058,5
30.9833,64.9043,5
30.9833,64.9043,5
30.9833,64.6028,5
30.9833,64.3013,5
30.9833,64.3013,5
